Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(182): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(182): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(185): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(185): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(188): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(188): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(192): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(192): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(195): web_custom_request("login.pl") started  	[MsgId: MMSG-26355]
Action.c(195): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "http://localhost:1080/cgi-bin/login.pl"  	[MsgId: MERR-26612]
Action.c(195): Error -26366: "Text=User password was correct" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


