Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(217): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(217): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(219): web_custom_request("nav.pl_2") started  	[MsgId: MMSG-26355]
Action.c(219): Registering web_custom_request("nav.pl_2") was successful  	[MsgId: MMSG-26390]
Action.c(230): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(230): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(233): web_custom_request("login.pl_2") started  	[MsgId: MMSG-26355]
Action.c(233): Registering web_custom_request("login.pl_2") was successful  	[MsgId: MMSG-26390]
Action.c(243): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(219): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"   [issued at Action.c(243)]  	[MsgId: MERR-26612]
End auto log messages stack.	[MsgId: MMSG-10544]


